formula	comparison	target	gated_rank	comparator_rank	signed_displacement	absolute_displacement	shared_top10
八珍汤	evidence_gated_vs_cutoff_chembl_measured_only	HDAC6	12	10	-2	2	False
八珍汤	evidence_gated_vs_cutoff_chembl_measured_only	HMGB1	41	41	0	0	False
八珍汤	evidence_gated_vs_cutoff_chembl_measured_only	HSD11B1	1	2	1	1	True
八珍汤	evidence_gated_vs_cutoff_chembl_measured_only	HSD11B2	4	1	-3	3	True
八珍汤	evidence_gated_vs_cutoff_chembl_measured_only	HSD17B1	19	18	-1	1	False
八珍汤	evidence_gated_vs_cutoff_chembl_measured_only	HSD17B2	14	12	-2	2	False
八珍汤	evidence_gated_vs_cutoff_chembl_measured_only	IL2	23	22	-1	1	False
八珍汤	evidence_gated_vs_cutoff_chembl_measured_only	MAOA	36	36	0	0	False
八珍汤	evidence_gated_vs_cutoff_chembl_measured_only	MAOB	3	24	21	21	False
八珍汤	evidence_gated_vs_cutoff_chembl_measured_only	MMP1	9	7	-2	2	True
八珍汤	evidence_gated_vs_cutoff_chembl_measured_only	MMP13	8	6	-2	2	True
八珍汤	evidence_gated_vs_cutoff_chembl_measured_only	MMP2	6	4	-2	2	True
八珍汤	evidence_gated_vs_cutoff_chembl_measured_only	MMP3	10	8	-2	2	True
八珍汤	evidence_gated_vs_cutoff_chembl_measured_only	MMP7	5	3	-2	2	True
八珍汤	evidence_gated_vs_cutoff_chembl_measured_only	MMP9	7	5	-2	2	True
八珍汤	evidence_gated_vs_cutoff_chembl_measured_only	NLRP3	16	14	-2	2	False
八珍汤	evidence_gated_vs_cutoff_chembl_measured_only	P4HB	38	38	0	0	False
八珍汤	evidence_gated_vs_cutoff_chembl_measured_only	PKM	34	34	0	0	False
八珍汤	evidence_gated_vs_cutoff_chembl_measured_only	PSMB5	22	21	-1	1	False
八珍汤	evidence_gated_vs_cutoff_chembl_measured_only	SNCA	15	13	-2	2	False
